net,length_um
psum[8],12.5µm
a_in[7],12.49µm
_0028_,12.48µm
_0303_,12.46µm
_0596_,12.46µm
_0044_,12.445µm
_0542_,12.44µm
_0604_,12.44µm
_0548_,12.42µm
_0614_,12.42µm
net1,12.38µm
_0624_,12.34µm
net159,12.34µm
a_out[5],12.33µm
_0575_,12.22µm
b_out[2],12.21µm
net146,12.2µm
_0219_,12.18µm
_0217_,12.16µm
_0350_,12.12µm
_0432_,12.1µm
_0178_,12.08µm
_0283_,12.08µm
_0522_,12.06µm
_0090_,12.05µm
net181,12.02µm
_0679_,11.92µm
_0040_,11.905µm
_0641_,11.9µm
psum[30],11.81µm
net178,11.8µm
_0185_,11.795µm
_0107_,11.78µm
net36,11.78µm
net306,11.78µm
_0504_,11.74µm
_0253_,11.7µm
_0280_,11.7µm
_0333_,11.68µm
_0678_,11.62µm
_0451_,11.58µm
psum[28],11.58µm
_0445_,11.54µm
_0258_,11.525µm
_0176_,11.5µm
_0431_,11.5µm
_0630_,11.48µm
psum[1],11.46µm
net184,11.46µm
_0660_,11.42µm
_0189_,11.38µm
_0686_,11.32µm
psum[31],11.31µm
_0318_,11.3µm
_0549_,11.24µm
_0643_,11.24µm
psum[9],11.24µm
_0087_,11.2µm
_0173_,11.2µm
_0227_,11.12µm
psum[29],11.12µm
net186,11.12µm
_0237_,11.1µm
_0471_,11.04µm
_0493_,11.04µm
_0552_,11.04µm
net169,11.04µm
_0047_,11.025µm
net193,10.96µm
_0313_,10.88µm
_0598_,10.86µm
_0245_,10.8µm
_0501_,10.8µm
_0035_,10.785µm
_0492_,10.78µm
_0627_,10.78µm
psum[20],10.78µm
a_out[7],10.77µm
_0112_,10.745µm
_0363_,10.7µm
net282,10.7µm
net314,10.7µm
net227,10.68µm
_0249_,10.62µm
_0591_,10.62µm
net149,10.58µm
_0201_,10.56µm
_0211_,10.54µm
_0298_,10.5µm
net51,10.4µm
net4,10.38µm
_0619_,10.34µm
_0344_,10.3µm
_0562_,10.28µm
net317,10.26µm
_0134_,10.24µm
net326,10.16µm
_0292_,10.12µm
net290,10.12µm
_0670_,10µm
net324,10µm
net329,9.98µm
_0644_,9.96µm
